NU_INSCRICAO,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_SURDEZ,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_GESTANTE,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q006,Q025
190001689441,19,M,Solteiro(a),Preta,Brasileiro(a),RS,Estou cursando e concluirei o Ensino Médio em 2019,Não informado,Pública,Ensino Regular,Não,Estadual,Urbana,Em atividade,Não,Não,Não,Não,Não,Não,Não,Não,Não,401.3,421.3,447.9,410.2,Espanhol,Sem problemas,460.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a Faculdade, mas não completou a Pós-graduação.",2 a 2.5 SM,Sim
190001689469,20,F,Solteiro(a),Branca,Brasileiro(a),RS,Já concluí o Ensino Médio,2016,Não Respondeu,missing value,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,580.0,616.1,603.1,778.6,Espanhol,Sem problemas,760.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade.",2 a 2.5 SM,Sim
190001689482,52,F,Solteiro(a),Branca,Brasileiro(a),RS,Estou cursando e concluirei o Ensino Médio em 2019,Não informado,Pública,missing value,Não,Estadual,Urbana,Em atividade,Não,Não,Não,Não,Não,Não,Não,Não,Não,393.9,489.0,443.9,363.2,Inglês,Sem problemas,580.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.",2 a 2.5 SM,Não
190001689484,22,F,Não informado,Parda,Brasileiro(a),RN,Já concluí o Ensino Médio,2015,Não Respondeu,missing value,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,576.7,635.3,633.2,585.8,Espanhol,Sem problemas,740.0,"Completou a Faculdade, mas não completou a Pós-graduação.","Completou o Ensino Médio, mas não completou a Faculdade.",1 a 1.5 SM,Sim
190001689488,20,F,Solteiro(a),Preta,Brasileiro(a),RS,Já concluí o Ensino Médio,2017,Não Respondeu,Ensino Regular,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,464.8,418.5,505.8,515.6,Espanhol,Sem problemas,480.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,"Completou o Ensino Médio, mas não completou a Faculdade.",1 a 1.5 SM,Não
190001689502,22,F,Não informado,Branca,Brasileiro(a),SP,Já concluí o Ensino Médio,2014,Não Respondeu,Ensino Regular,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,569.3,552.8,534.6,532.8,Espanhol,Sem problemas,520.0,"Completou o Ensino Médio, mas não completou a Faculdade.","Completou o Ensino Médio, mas não completou a Faculdade.",1 a 1.5 SM,Sim
190001689519,18,F,Solteiro(a),Branca,Brasileiro(a),RS,Estou cursando e concluirei o Ensino Médio em 2019,Não informado,Pública,Ensino Regular,Não,Estadual,Urbana,Em atividade,Não,Não,Não,Não,Não,Não,Não,Não,Não,486.5,560.2,561.9,434.0,Espanhol,Sem problemas,620.0,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.","Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do Ensino Fundamental.",1 SM,Sim
190001689527,57,F,Solteiro(a),Branca,Brasileiro(a),RS,Já concluí o Ensino Médio,Antes de 2007,Não Respondeu,missing value,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,628.5,600.0,554.0,611.6,Inglês,Sem problemas,480.0,"Completou o Ensino Médio, mas não completou a Faculdade.",Não completou a 4ª série/5º ano do Ensino Fundamental.,2 a 2.5 SM,Não
190001689529,20,F,Solteiro(a),Parda,Brasileiro(a),TO,Já concluí o Ensino Médio,2018,Não Respondeu,missing value,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,468.0,523.8,525.9,375.1,Espanhol,Sem problemas,580.0,Não completou a 4ª série/5º ano do Ensino Fundamental.,Não completou a 4ª série/5º ano do Ensino Fundamental.,1 SM,Sim
190001689532,31,M,Solteiro(a),Parda,Brasileiro(a),PB,Já concluí o Ensino Médio,Antes de 2007,Não Respondeu,Ensino Regular,Não,missing value,missing value,missing value,Não,Não,Não,Não,Não,Não,Não,Não,Não,578.4,472.4,535.4,559.0,Espanhol,Sem problemas,580.0,"Completou a 8ª série/9º ano do Ensino Fundamental, mas não completou o Ensino Médio.","Completou a Faculdade, mas não completou a Pós-graduação.",1 a 1.5 SM,Sim
